targetId,diseaseId,diseaseName,score
ENSG00000003400,MONDO_0011383,autoimmune lymphoproliferative syndrome type 2A,0.6789794690845216
ENSG00000003400,MONDO_0001056,gastric cancer,0.5613390572969367
ENSG00000003400,MONDO_0017979,autoimmune lymphoproliferative syndrome,0.5059264772369438
ENSG00000003400,EFO_0000574,lymphoma,0.48214104811573416
ENSG00000003400,EFO_0005952,non-Hodgkins lymphoma,0.4574316265231413
ENSG00000003400,EFO_0000095,chronic lymphocytic leukemia,0.27999101232373175
ENSG00000003400,EFO_0000685,rheumatoid arthritis,0.18978188965777973
ENSG00000003400,MONDO_0011158,autoimmune lymphoproliferative syndrome type 1,0.17696760068334078
ENSG00000003400,EFO_0003897,stomach neoplasm,0.1609725589293368
ENSG00000003400,EFO_0001663,prostate carcinoma,0.14662019824770098
ENSG00000003400,EFO_0001422,cirrhosis of liver,0.09239496367117545
ENSG00000003400,MONDO_0004992,cancer,0.08231148797114529
ENSG00000003400,EFO_0004220,chronic hepatitis C virus infection,0.07391597093694036
ENSG00000003400,EFO_1001249,non-alcoholic steatohepatitis,0.07391597093694036
ENSG00000003400,MONDO_0009685,Miyoshi myopathy,0.056676704946203575
ENSG00000003400,EFO_0000616,neoplasm,0.0545608503088286
ENSG00000003400,MONDO_0009623,Nijmegen breakage syndrome,0.042393889164457674
ENSG00000003400,EFO_0000305,breast carcinoma,0.03979753530667486
ENSG00000003400,EFO_0000400,diabetes mellitus,0.0380205275506887
ENSG00000003400,MONDO_0100096,COVID-19,0.03797433006885311
ENSG00000003400,EFO_1001345,"Hepatitis, Alcoholic",0.03695798546847018
ENSG00000003400,EFO_0001421,liver disease,0.03695798546847018
ENSG00000003400,EFO_0010282,gastrointestinal disease,0.03695798546847018
ENSG00000003400,EFO_0000756,melanoma,0.02984624245362906
ENSG00000003400,EFO_0009578,placental retention,0.029413007550412817
ENSG00000003400,EFO_0000182,hepatocellular carcinoma,0.029145477984718563
ENSG00000003400,EFO_0000220,acute lymphoblastic leukemia,0.025358721729190816
